X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
    Radius,    Density,       Temp,       Mass,        Lum,       OptD,        Kff,         KH,        Kes,         PP,        CNO,         3a,        Deg,        Gas,        Rad,    TotPres,       dLdr,     dPdT,      dTRad,     dTConv
         0,          0,          0,          0,          0,          0,       -nan,          0,    0.03468,          0,          0,          0,          0,          0,          0,          0,          0,          0,       -nan,       -nan
      0.01,    67453.5, 7.51623e+06,     282548,     35.065,          0,   0.263711, 1.25757e+31,    0.03468, 0.000124102, 2.43134e-10, 9.57832e-60, 1.10881e+15, 6.96185e+15, 8.04804e+11, 8.07147e+15,  0.0105195, 9.26671e+08, 3.86559e-06, 4.73724e-06
   50003.6,    67453.5, 7.51623e+06, 3.53262e+19, 4.38407e+15,          0,   0.263711, 1.25757e+31,    0.03468, 0.000124102, 2.43133e-10, 9.57829e-60, 1.10881e+15, 6.96185e+15, 8.04804e+11, 8.07147e+15, 2.63025e+11, 9.26671e+08, 1.93293e-05, 2.36879e-05
    100008,    67453.4, 7.51623e+06, 2.82616e+20, 3.50734e+16,          0,   0.263712, 1.25757e+31,    0.03468, 0.000124102, 2.43132e-10, 9.5782e-60, 1.10881e+15, 6.96185e+15, 8.04803e+11, 8.07147e+15, 1.05212e+12, 9.26671e+08, 3.8659e-05, 4.73762e-05
    150021,    67453.4, 7.51622e+06, 9.54004e+20, 1.18394e+17,          0,   0.263712, 1.25756e+31,    0.03468, 0.000124102, 2.4313e-10, 9.57806e-60, 1.10881e+15, 6.96184e+15, 8.04802e+11, 8.07146e+15, 2.36755e+12, 9.2667e+08, 5.7992e-05, 7.10686e-05
    200119,    67453.3, 7.51622e+06, 2.26443e+21, 2.81021e+17,          0,   0.263712, 1.25756e+31,    0.03468, 0.000124102, 2.43128e-10, 9.57785e-60, 1.10881e+15, 6.96183e+15, 8.04801e+11, 8.07145e+15, 4.21279e+12, 9.26669e+08, 7.73577e-05, 9.48013e-05
    250136,    67453.3, 7.51622e+06, 4.42201e+21, 5.4878e+17,          0,   0.263712, 1.25755e+31,    0.03468, 0.000124101, 2.43125e-10, 9.57758e-60, 1.10881e+15, 6.96182e+15, 8.04799e+11, 8.07143e+15, 6.58175e+12, 9.26668e+08, 9.66919e-05, 0.000118495
    300197,    67453.2, 7.51621e+06, 7.64386e+21, 9.48615e+17,          0,   0.263713, 1.25754e+31,    0.03468, 0.000124101, 2.43121e-10, 9.57726e-60, 1.10881e+15, 6.9618e+15, 8.04797e+11, 8.07142e+15, 9.47984e+12, 9.26667e+08, 0.000116044, 0.00014221
    350348,      67453, 7.51621e+06, 1.21504e+22, 1.50788e+18,          0,   0.263713, 1.25753e+31,    0.03468,  0.0001241, 2.43117e-10, 9.57687e-60, 1.1088e+15, 6.96179e+15, 8.04794e+11, 8.07139e+15, 1.29117e+13, 9.26665e+08, 0.000135429, 0.000165968
    400446,    67452.9, 7.5162e+06, 1.81435e+22, 2.25163e+18,          0,   0.263714, 1.25752e+31,    0.03468, 0.000124099, 2.43112e-10, 9.57642e-60, 1.1088e+15, 6.96177e+15, 8.04791e+11, 8.07137e+15, 1.68682e+13, 9.26663e+08, 0.000154795,  0.0001897
    450553,    67452.8, 7.51619e+06, 2.58421e+22, 3.20702e+18,          0,   0.263714, 1.2575e+31,    0.03468, 0.000124099, 2.43106e-10, 9.57592e-60, 1.10879e+15, 6.96174e+15, 8.04787e+11, 8.07134e+15, 2.13535e+13, 9.26661e+08, 0.000174164, 0.000213437
    500785,    67452.6, 7.51618e+06, 3.5485e+22, 4.40368e+18,          0,   0.263715, 1.25749e+31,    0.03468, 0.000124098, 2.43099e-10, 9.57536e-60, 1.10879e+15, 6.96172e+15, 8.04783e+11, 8.07131e+15, 2.63801e+13, 9.26659e+08, 0.000193581, 0.000237232
    550989,    67452.4, 7.51617e+06, 4.72627e+22, 5.86526e+18,          0,   0.263716, 1.25747e+31,    0.03468, 0.000124097, 2.43092e-10, 9.57473e-60, 1.10879e+15, 6.96169e+15, 8.04779e+11, 8.07128e+15, 3.19341e+13, 9.26657e+08, 0.000212987, 0.000261015
