X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Pres
0,0,0,0,0,0,0
1e-010,1.2e+006,6e+006,1e-010,1e-010,1e-010,4.09259e+017
51449,1.2e+006,5.99999e+006,1.17652e+021,1.26573e+018,4.12948e+011,4.09257e+017
111449,1.19999e+006,5.99998e+006,7.5971e+021,8.17308e+018,7.68975e+011,4.09254e+017
171449,1.19998e+006,5.99995e+006,2.85975e+022,3.0765e+019,1.19621e+012,4.09247e+017
231449,1.19996e+006,5.99991e+006,7.14845e+022,7.69008e+019,1.62343e+012,4.09237e+017
281449,1.19994e+006,5.99986e+006,1.44074e+023,1.54985e+020,2.05066e+012,4.09224e+017
341449,1.19991e+006,5.99979e+006,2.54182e+023,2.73421e+020,2.47789e+012,4.09207e+017
401449,1.19988e+006,5.99972e+006,4.09622e+023,4.40603e+020,2.90511e+012,4.09188e+017
461449,1.19984e+006,5.99963e+006,6.18206e+023,6.64926e+020,3.33233e+012,4.09166e+017
521449,1.1998e+006,5.99953e+006,8.87746e+023,9.54774e+020,3.75954e+012,4.09141e+017
581449,1.19975e+006,5.99941e+006,1.22605e+024,1.31853e+021,4.18675e+012,4.09112e+017
641449,1.1997e+006,5.99929e+006,1.64093e+024,1.76455e+021,4.61396e+012,4.09081e+017
701449,1.19964e+006,5.99915e+006,2.14018e+024,2.30122e+021,5.04116e+012,4.09046e+017
761449,1.19957e+006,5.999e+006,2.73162e+024,2.93687e+021,5.46835e+012,4.09009e+017
821449,1.1995e+006,5.99884e+006,3.42304e+024,3.67986e+021,5.89554e+012,4.08968e+017
881449,1.19943e+006,5.99866e+006,4.22223e+024,4.53851e+021,6.32272e+012,4.08924e+017
941449,1.19934e+006,5.99847e+006,5.13699e+024,5.52113e+021,6.7499e+012,4.08878e+017
1.00145e+006,1.19926e+006,5.99827e+006,6.17512e+024,6.63604e+021,7.17706e+012,4.08828e+017
1.06145e+006,1.19917e+006,5.9981e+006,7.14007e+024,7.67216e+021,7.53303e+012,4.08784e+017
1.12145e+006,1.19907e+006,5.99788e+006,8.42458e+024,9.05111e+021,7.96018e+012,4.08729e+017
