X = 0.25
Y = 0.736
Z = 0.014
mu = 0.944287
Radius,Density,Temp,Mass,Lum,OptD,Pres
0,0,0,0,0,0,0
1e-010,1.92e+006,9.6e+006,1e-010,1e-010,1e-010,7.68818e+017
51387.3,1.92e+006,9.59999e+006,1.85202e+021,2.42436e+018,1.54353e+011,7.68814e+017
111387,1.91998e+006,9.59995e+006,1.57281e+022,2.05883e+019,3.14914e+011,7.68803e+017
171387,1.91996e+006,9.59988e+006,5.41352e+022,7.0862e+019,4.75475e+011,7.68785e+017
231387,1.91992e+006,9.59979e+006,1.2958e+023,1.69611e+020,6.36036e+011,7.68759e+017
291387,1.91987e+006,9.59967e+006,2.54566e+023,3.33195e+020,7.96596e+011,7.68726e+017
351387,1.91981e+006,9.59953e+006,4.41597e+023,5.77963e+020,9.57156e+011,7.68686e+017
411387,1.91975e+006,9.59935e+006,7.03175e+023,9.20254e+020,1.11771e+012,7.68638e+017
471387,1.91967e+006,9.59915e+006,1.0518e+024,1.37639e+021,1.27827e+012,7.68583e+017
531387,1.91958e+006,9.59893e+006,1.49995e+024,1.96269e+021,1.43883e+012,7.6852e+017
591387,1.91947e+006,9.59868e+006,2.06014e+024,2.69543e+021,1.59939e+012,7.6845e+017
651387,1.91936e+006,9.5984e+006,2.74485e+024,3.59088e+021,1.75994e+012,7.68373e+017
711387,1.91924e+006,9.59809e+006,3.56655e+024,4.6653e+021,1.92049e+012,7.68288e+017
771387,1.91911e+006,9.59776e+006,4.53773e+024,5.93491e+021,2.08105e+012,7.68195e+017
831387,1.91896e+006,9.5974e+006,5.67086e+024,7.41589e+021,2.2416e+012,7.68096e+017
891387,1.91881e+006,9.59701e+006,6.9784e+024,9.12442e+021,2.40215e+012,7.67989e+017
951387,1.91864e+006,9.5966e+006,8.47281e+024,1.10766e+022,2.56269e+012,7.67874e+017
1.01139e+006,1.91846e+006,9.59616e+006,1.01666e+025,1.32886e+022,2.72324e+012,7.67753e+017
1.07139e+006,1.91828e+006,9.5957e+006,1.20721e+025,1.57764e+022,2.88378e+012,7.67623e+017
1.13139e+006,1.91808e+006,9.59521e+006,1.42018e+025,1.85561e+022,3.04432e+012,7.67487e+017
1.19139e+006,1.91787e+006,9.59469e+006,1.65681e+025,2.16436e+022,3.20486e+012,7.67343e+017
1.25139e+006,1.91765e+006,9.59414e+006,1.91835e+025,2.50549e+022,3.3654e+012,7.67192e+017
1.31139e+006,1.91742e+006,9.59357e+006,2.20604e+025,2.88059e+022,3.52593e+012,7.67033e+017
1.37139e+006,1.91718e+006,9.59297e+006,2.52111e+025,3.29123e+022,3.68646e+012,7.66867e+017
1.43139e+006,1.91692e+006,9.59234e+006,2.86481e+025,3.73901e+022,3.84699e+012,7.66694e+017
1.49139e+006,1.91666e+006,9.59169e+006,3.23838e+025,4.2255e+022,4.00751e+012,7.66513e+017
1.55139e+006,1.91639e+006,9.59101e+006,3.64304e+025,4.75226e+022,4.16803e+012,7.66325e+017
1.61139e+006,1.9161e+006,9.59031e+006,4.08005e+025,5.32086e+022,4.32855e+012,7.6613e+017
1.67139e+006,1.91581e+006,9.58958e+006,4.55062e+025,5.93285e+022,4.48907e+012,7.65927e+017
1.73139e+006,1.9155e+006,9.58882e+006,5.056e+025,6.58979e+022,4.64958e+012,7.65717e+017
1.79139e+006,1.91518e+006,9.58803e+006,5.59741e+025,7.29323e+022,4.81009e+012,7.655e+017
1.85139e+006,1.91486e+006,9.58722e+006,6.17609e+025,8.04469e+022,4.9706e+012,7.65275e+017
1.91139e+006,1.91452e+006,9.58638e+006,6.79327e+025,8.84571e+022,5.1311e+012,7.65043e+017
1.97139e+006,1.91417e+006,9.58552e+006,7.45017e+025,9.69783e+022,5.29159e+012,7.64804e+017
2.03139e+006,1.91381e+006,9.58463e+006,8.14803e+025,1.06025e+023,5.45209e+012,7.64557e+017
2.09139e+006,1.91344e+006,9.58371e+006,8.88806e+025,1.15614e+023,5.61258e+012,7.64303e+017
2.15139e+006,1.91306e+006,9.58277e+006,9.67149e+025,1.25758e+023,5.77306e+012,7.64042e+017
2.21139e+006,1.91267e+006,9.58179e+006,1.04995e+026,1.36474e+023,5.93354e+012,7.63774e+017
2.27139e+006,1.91226e+006,9.5808e+006,1.13734e+026,1.47775e+023,6.09402e+012,7.63498e+017
2.33139e+006,1.91185e+006,9.57977e+006,1.22944e+026,1.59678e+023,6.25449e+012,7.63215e+017
2.39139e+006,1.91143e+006,9.57872e+006,1.32636e+026,1.72196e+023,6.41496e+012,7.62925e+017
2.45139e+006,1.91099e+006,9.57765e+006,1.42823e+026,1.85344e+023,6.57542e+012,7.62628e+017
2.51139e+006,1.91055e+006,9.57654e+006,1.53518e+026,1.99136e+023,6.73588e+012,7.62323e+017
2.57139e+006,1.91009e+006,9.57541e+006,1.64731e+026,2.13588e+023,6.89633e+012,7.62011e+017
2.63139e+006,1.90962e+006,9.57426e+006,1.76476e+026,2.28713e+023,7.05678e+012,7.61692e+017
2.69139e+006,1.90915e+006,9.57307e+006,1.88764e+026,2.44526e+023,7.21722e+012,7.61366e+017
2.75139e+006,1.90866e+006,9.57186e+006,2.01607e+026,2.61041e+023,7.37765e+012,7.61033e+017
2.81139e+006,1.90816e+006,9.57063e+006,2.15018e+026,2.78272e+023,7.53808e+012,7.60692e+017
2.87139e+006,1.90765e+006,9.56937e+006,2.29008e+026,2.96232e+023,7.69851e+012,7.60344e+017
2.93139e+006,1.90713e+006,9.56808e+006,2.4359e+026,3.14936e+023,7.85893e+012,7.59989e+017
2.99139e+006,1.9066e+006,9.56676e+006,2.58775e+026,3.34398e+023,8.01934e+012,7.59627e+017
3.05139e+006,1.90606e+006,9.56542e+006,2.74575e+026,3.54631e+023,8.17975e+012,7.59258e+017
3.11139e+006,1.90551e+006,9.56406e+006,2.91003e+026,3.75649e+023,8.34015e+012,7.58882e+017
3.17139e+006,1.90495e+006,9.56266e+006,3.0807e+026,3.97464e+023,8.50054e+012,7.58498e+017
3.23139e+006,1.90437e+006,9.56124e+006,3.25788e+026,4.20091e+023,8.66093e+012,7.58107e+017
3.29139e+006,1.90379e+006,9.55979e+006,3.44168e+026,4.43543e+023,8.82131e+012,7.5771e+017
3.35139e+006,1.9032e+006,9.55832e+006,3.63224e+026,4.67833e+023,8.98169e+012,7.57305e+017
3.41139e+006,1.90259e+006,9.55682e+006,3.82966e+026,4.92973e+023,9.14205e+012,7.56893e+017
3.47139e+006,1.90198e+006,9.5553e+006,4.03406e+026,5.18977e+023,9.30241e+012,7.56474e+017
3.53139e+006,1.90135e+006,9.55375e+006,4.24557e+026,5.45858e+023,9.46277e+012,7.56048e+017
3.59139e+006,1.90072e+006,9.55217e+006,4.46429e+026,5.73627e+023,9.62311e+012,7.55615e+017
3.65139e+006,1.90007e+006,9.55056e+006,4.69034e+026,6.02298e+023,9.78345e+012,7.55175e+017
3.71139e+006,1.89941e+006,9.54893e+006,4.92385e+026,6.31883e+023,9.94379e+012,7.54728e+017
3.77139e+006,1.89875e+006,9.54728e+006,5.16493e+026,6.62394e+023,1.01041e+013,7.54274e+017
3.83139e+006,1.89807e+006,9.54559e+006,5.41369e+026,6.93843e+023,1.02644e+013,7.53813e+017
3.89139e+006,1.89738e+006,9.54388e+006,5.67025e+026,7.26243e+023,1.04247e+013,7.53345e+017
3.95139e+006,1.89668e+006,9.54215e+006,5.93472e+026,7.59604e+023,1.0585e+013,7.5287e+017
4.01139e+006,1.89597e+006,9.54039e+006,6.20723e+026,7.9394e+023,1.07453e+013,7.52388e+017
4.07139e+006,1.89525e+006,9.5386e+006,6.48788e+026,8.29261e+023,1.09056e+013,7.51899e+017
4.13139e+006,1.89452e+006,9.53679e+006,6.77679e+026,8.65579e+023,1.10659e+013,7.51403e+017
4.19139e+006,1.89378e+006,9.53495e+006,7.07408e+026,9.02905e+023,1.12262e+013,7.509e+017
4.25139e+006,1.89303e+006,9.53308e+006,7.37986e+026,9.41251e+023,1.13864e+013,7.50391e+017
4.31139e+006,1.89227e+006,9.53119e+006,7.69424e+026,9.80627e+023,1.15467e+013,7.49874e+017
4.37139e+006,1.8915e+006,9.52927e+006,8.01734e+026,1.02104e+024,1.17069e+013,7.49351e+017
4.43139e+006,1.89072e+006,9.52733e+006,8.34927e+026,1.06251e+024,1.18671e+013,7.4882e+017
4.49139e+006,1.88993e+006,9.52536e+006,8.69014e+026,1.10505e+024,1.20274e+013,7.48283e+017
