X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres
0,0,0,0,0,0,-nan,0,0.03468,0.0605772,0.0456679,1.00964e-41,0,0,0,0
1,1.29551e+06,1.68761e+07,5.42664e+06,576554,159413,0.12305,7.99293e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52729e+17,3.00217e+17,2.04541e+13,4.52967e+17
100026,1.29551e+06,1.68761e+07,5.4309e+21,5.76997e+20,1.59454e+10,0.12305,7.99277e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52728e+17,3.00215e+17,2.0454e+13,4.52964e+17
200036,1.29549e+06,1.6876e+07,4.3436e+22,4.61457e+21,3.18883e+10,0.123052,7.99227e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52725e+17,3.0021e+17,2.04535e+13,4.52955e+17
300075,1.29547e+06,1.68758e+07,1.46625e+23,1.5576e+22,4.78357e+10,0.123055,7.99144e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.5272e+17,3.002e+17,2.04526e+13,4.52941e+17
400340,1.29543e+06,1.68756e+07,3.48178e+23,3.69828e+22,6.38194e+10,0.123058,7.99028e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52712e+17,3.00187e+17,2.04514e+13,4.5292e+17
500509,1.29538e+06,1.68753e+07,6.80361e+23,7.22562e+22,7.97876e+10,0.123063,7.98879e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52703e+17,3.00171e+17,2.04499e+13,4.52894e+17
600560,1.29532e+06,1.68749e+07,1.17533e+24,1.24801e+23,9.57371e+10,0.123069,7.98697e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52691e+17,3.0015e+17,2.0448e+13,4.52862e+17
700971,1.29525e+06,1.68744e+07,1.86887e+24,1.98403e+23,1.11744e+11,0.123076,7.98481e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52678e+17,3.00126e+17,2.04458e+13,4.52824e+17
801242,1.29517e+06,1.68739e+07,2.79095e+24,2.96222e+23,1.27729e+11,0.123084,7.98232e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52662e+17,3.00098e+17,2.04433e+13,4.5278e+17
901605,1.29508e+06,1.68733e+07,3.97642e+24,4.21929e+23,1.43728e+11,0.123093,7.97949e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52644e+17,3.00066e+17,2.04404e+13,4.52731e+17
1.00174e+06,1.29498e+06,1.68726e+07,5.45369e+24,5.78503e+23,1.59692e+11,0.123104,7.97635e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52624e+17,3.00031e+17,2.04371e+13,4.52675e+17
1.10225e+06,1.29487e+06,1.68719e+07,7.26506e+24,7.70385e+23,1.75714e+11,0.123115,7.97286e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52602e+17,2.99991e+17,2.04336e+13,4.52614e+17
1.20292e+06,1.29474e+06,1.68711e+07,9.44245e+24,1.00091e+24,1.91763e+11,0.123127,7.96903e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52578e+17,2.99948e+17,2.04296e+13,4.52546e+17
1.30302e+06,1.29461e+06,1.68702e+07,1.20005e+25,1.27155e+24,2.0772e+11,0.123141,7.96489e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52551e+17,2.99902e+17,2.04254e+13,4.52473e+17
1.40304e+06,1.29446e+06,1.68692e+07,1.49806e+25,1.58664e+24,2.23666e+11,0.123156,7.96043e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52523e+17,2.99852e+17,2.04208e+13,4.52395e+17
1.50399e+06,1.29431e+06,1.68682e+07,1.84511e+25,1.9533e+24,2.3976e+11,0.123171,7.95559e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52492e+17,2.99797e+17,2.04158e+13,4.5231e+17
1.605e+06,1.29414e+06,1.68671e+07,2.24221e+25,2.3725e+24,2.55862e+11,0.123188,7.95042e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52459e+17,2.99739e+17,2.04105e+13,4.52219e+17
1.70513e+06,1.29396e+06,1.6866e+07,2.6884e+25,2.84311e+24,2.71826e+11,0.123206,7.94497e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52425e+17,2.99677e+17,2.04049e+13,4.52122e+17
1.80612e+06,1.29377e+06,1.68647e+07,3.1946e+25,3.37654e+24,2.87925e+11,0.123225,7.93914e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52388e+17,2.99612e+17,2.03989e+13,4.5202e+17
1.90738e+06,1.29357e+06,1.68634e+07,3.76226e+25,3.97416e+24,3.04069e+11,0.123245,7.93296e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52348e+17,2.99542e+17,2.03926e+13,4.5191e+17
2.00831e+06,1.29336e+06,1.6862e+07,4.39125e+25,4.63567e+24,3.2016e+11,0.123267,7.92648e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52307e+17,2.99469e+17,2.03859e+13,4.51796e+17
2.10985e+06,1.29314e+06,1.68606e+07,5.09107e+25,5.37087e+24,3.36349e+11,0.123289,7.91962e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52263e+17,2.99391e+17,2.03788e+13,4.51675e+17
2.20992e+06,1.29291e+06,1.68591e+07,5.84975e+25,6.16702e+24,3.52304e+11,0.123312,7.91253e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52218e+17,2.99311e+17,2.03715e+13,4.51549e+17
2.31129e+06,1.29267e+06,1.68575e+07,6.69144e+25,7.04924e+24,3.68465e+11,0.123337,7.90503e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.5217e+17,2.99226e+17,2.03638e+13,4.51417e+17
2.4119e+06,1.29241e+06,1.68558e+07,7.60296e+25,8.00348e+24,3.84505e+11,0.123363,7.89726e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52121e+17,2.99138e+17,2.03558e+13,4.51279e+17
2.51313e+06,1.29215e+06,1.68541e+07,8.60003e+25,9.04593e+24,4.00646e+11,0.12339,7.88911e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52068e+17,2.99046e+17,2.03474e+13,4.51135e+17
2.61472e+06,1.29187e+06,1.68522e+07,9.68436e+25,1.01781e+25,4.16842e+11,0.123418,7.88061e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.52014e+17,2.98949e+17,2.03386e+13,4.50984e+17
2.71635e+06,1.29158e+06,1.68504e+07,1.08566e+26,1.14004e+25,4.33047e+11,0.123447,7.87178e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51958e+17,2.98849e+17,2.03295e+13,4.50827e+17
2.81772e+06,1.29128e+06,1.68484e+07,1.21164e+26,1.2712e+25,4.4921e+11,0.123477,7.86264e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51899e+17,2.98745e+17,2.032e+13,4.50665e+17
2.91853e+06,1.29098e+06,1.68464e+07,1.34619e+26,1.41107e+25,4.65283e+11,0.123508,7.85324e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51839e+17,2.98639e+17,2.03103e+13,4.50498e+17
3.02068e+06,1.29065e+06,1.68443e+07,1.49234e+26,1.56276e+25,4.81571e+11,0.123541,7.84338e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51776e+17,2.98526e+17,2.03001e+13,4.50322e+17
3.12175e+06,1.29033e+06,1.68421e+07,1.64695e+26,1.72299e+25,4.97687e+11,0.123574,7.83331e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51711e+17,2.98412e+17,2.02897e+13,4.50143e+17
3.2238e+06,1.28998e+06,1.68398e+07,1.81352e+26,1.89531e+25,5.13959e+11,0.123609,7.82282e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51644e+17,2.98292e+17,2.02788e+13,4.49956e+17
3.32422e+06,1.28963e+06,1.68375e+07,1.988e+26,2.07551e+25,5.29972e+11,0.123645,7.81218e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51575e+17,2.98171e+17,2.02677e+13,4.49766e+17
3.42522e+06,1.28927e+06,1.68352e+07,2.17439e+26,2.26767e+25,5.46077e+11,0.123682,7.80116e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51504e+17,2.98045e+17,2.02563e+13,4.49569e+17
3.52666e+06,1.2889e+06,1.68327e+07,2.37294e+26,2.47199e+25,5.62252e+11,0.12372,7.78978e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51431e+17,2.97915e+17,2.02445e+13,4.49366e+17
3.62839e+06,1.28851e+06,1.68302e+07,2.58382e+26,2.6886e+25,5.78475e+11,0.123759,7.77806e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51355e+17,2.97781e+17,2.02323e+13,4.49156e+17
3.73029e+06,1.28811e+06,1.68276e+07,2.80714e+26,2.91754e+25,5.94723e+11,0.1238,7.766e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51277e+17,2.97643e+17,2.02197e+13,4.4894e+17
3.83218e+06,1.2877e+06,1.68249e+07,3.04294e+26,3.1588e+25,6.10972e+11,0.123841,7.75362e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51197e+17,2.97501e+17,2.02068e+13,4.48718e+17
3.93393e+06,1.28728e+06,1.68221e+07,3.29117e+26,3.41225e+25,6.27198e+11,0.123884,7.74095e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51115e+17,2.97355e+17,2.01936e+13,4.48491e+17
4.03537e+06,1.28686e+06,1.68193e+07,3.55168e+26,3.67769e+25,6.43375e+11,0.123928,7.72801e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.51032e+17,2.97207e+17,2.01801e+13,4.48258e+17
4.13634e+06,1.28642e+06,1.68164e+07,3.82423e+26,3.9548e+25,6.59478e+11,0.123972,7.71482e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50946e+17,2.97055e+17,2.01663e+13,4.48021e+17
4.23668e+06,1.28597e+06,1.68135e+07,4.10848e+26,4.24318e+25,6.7548e+11,0.124018,7.70142e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50859e+17,2.969e+17,2.01522e+13,4.4778e+17
4.33946e+06,1.28551e+06,1.68104e+07,4.41386e+26,4.5523e+25,6.91873e+11,0.124066,7.68739e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50768e+17,2.96738e+17,2.01375e+13,4.47526e+17
4.44143e+06,1.28503e+06,1.68073e+07,4.73132e+26,4.87292e+25,7.08135e+11,0.124114,7.67315e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50675e+17,2.96574e+17,2.01226e+13,4.47269e+17
4.5424e+06,1.28455e+06,1.68042e+07,5.06027e+26,5.20435e+25,7.2424e+11,0.124163,7.65876e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50581e+17,2.96408e+17,2.01075e+13,4.47009e+17
4.64568e+06,1.28405e+06,1.68009e+07,5.41209e+26,5.55797e+25,7.40713e+11,0.124215,7.64374e+34,0.03468,0.0605772,0.0456679,1.00964e-41,1.50483e+17,2.96234e+17,2.00917e+13,4.46737e+17
