X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0,0,0
100,500000,5.32108e+06,2.0944e+06,483.954,1.79504e+06,3.59009,1.52938e+30,0.03468,0.000231071,1.86557e-12,1.32197e-64,3.12465e+16,3.65334e+16,2.02158e+11,6.77802e+16,1.45186e+07,6.86586e+09
1.00501e+06,499805,5.31997e+06,2.12551e+24,4.90784e+20,1.80389e+12,3.59172,1.52622e+30,0.03468,0.000230789,1.85712e-12,1.30889e-64,3.12262e+16,3.65116e+16,2.01989e+11,6.77379e+16,1.46407e+15,6.86203e+09
2.11145e+06,499136,5.31619e+06,1.96947e+25,4.53617e+21,3.79033e+12,3.5973,1.51547e+30,0.03468,0.000229825,1.82858e-12,1.26518e-64,3.11566e+16,3.64368e+16,2.01416e+11,6.75936e+16,6.42669e+15,6.84812e+09
3.1417e+06,498089,5.31026e+06,6.47973e+25,1.48659e+22,5.6405e+12,3.60607,1.49875e+30,0.03468,0.000228322,1.78467e-12,1.19951e-64,3.10477e+16,3.63198e+16,2.00519e+11,6.73677e+16,1.41056e+16,6.82637e+09
4.70127e+06,495729,5.29689e+06,2.16509e+26,4.92338e+22,8.4428e+12,3.62597,1.46164e+30,0.03468,0.000224959,1.68927e-12,1.06338e-64,3.0803e+16,3.60567e+16,1.98506e+11,6.68599e+16,3.09733e+16,6.77744e+09
5.75737e+06,493608,5.28484e+06,3.96636e+26,8.94772e+22,1.03419e+13,3.64403,1.42892e+30,0.03468,0.000221965,1.60752e-12,9.5377e-65,3.05836e+16,3.58207e+16,1.96706e+11,6.64046e+16,4.56379e+16,6.73353e+09
7.05418e+06,490434,5.26677e+06,7.26755e+26,1.61999e+23,1.26759e+13,3.67137,1.38108e+30,0.03468,0.000217537,1.49193e-12,8.09809e-65,3.02566e+16,3.54687e+16,1.94029e+11,6.57255e+16,6.6714e+16,6.66797e+09
8.64675e+06,485696,5.23968e+06,1.33074e+27,2.91363e+23,1.55459e+13,3.7129,1.31207e+30,0.03468,0.000211038,1.33345e-12,6.33048e-65,2.97709e+16,3.49454e+16,1.90069e+11,6.47165e+16,9.63031e+16,6.57039e+09
1.06034e+07,478643,5.19915e+06,2.43267e+27,5.18547e+23,1.90791e+13,3.77632,1.21459e+30,0.03468,0.000201613,1.12594e-12,4.36863e-65,2.90539e+16,3.41716e+16,1.84256e+11,6.32256e+16,1.36341e+17,6.42583e+09
1.30093e+07,468196,5.13862e+06,4.43428e+27,9.08177e+23,2.34367e+13,3.87403,1.08109e+30,0.03468,0.000188186,8.72386e-13,2.49673e-65,2.80047e+16,3.30365e+16,1.75823e+11,6.10414e+16,1.87386e+17,6.21319e+09
1.59721e+07,452832,5.04846e+06,8.04564e+27,1.55283e+24,2.88268e+13,4.02648,9.06624e+29,0.03468,0.000169569,5.93249e-13,1.07186e-65,2.64899e+16,3.13918e+16,1.63804e+11,5.78818e+16,2.46159e+17,5.90376e+09
1.96286e+07,430480,4.91477e+06,1.44943e+28,2.56274e+24,3.55245e+13,4.26905,6.94283e+29,0.03468,0.000144791,3.30605e-13,2.97394e-66,2.43467e+16,2.9052e+16,1.47131e+11,5.33989e+16,3.01774e+17,5.46083e+09
2.41572e+07,398495,4.71784e+06,2.58275e+28,4.01841e+24,4.3905e+13,4.66682,4.62306e+29,0.03468,0.000113807,1.35629e-13,4.21525e-67,2.1407e+16,2.58158e+16,1.24929e+11,4.72229e+16,3.32581e+17,4.84251e+09
2.97971e+07,353866,4.43058e+06,4.52597e+28,5.8641e+24,5.45049e+13,5.35057,2.47512e+29,0.03468,7.86064e-05,3.45024e-14,2.09524e-68,1.75624e+16,2.15288e+16,9.71702e+10,3.90913e+16,3.10351e+17,4.01241e+09
3.68826e+07,293987,4.01769e+06,7.73031e+28,7.78013e+24,6.81401e+13,6.61814,9.35376e+28,0.03468,4.41582e-05,4.09175e-15,1.95398e-70,1.28943e+16,1.62191e+16,6.57049e+10,2.91134e+16,2.21918e+17,2.96489e+09
4.59141e+07,218464,3.43706e+06,1.26877e+29,9.22571e+24,8.61615e+13,9.28401,1.97883e+28,0.03468,1.75755e-05,1.3613e-16,0,7.86115e+15,1.03107e+16,3.51917e+10,1.81719e+16,1.01716e+17,1.77162e+09
5.77221e+07,132413,2.64603e+06,1.95508e+29,9.86747e+24,1.11095e+14,16.3341,1.46334e+27,0.03468,3.74184e-06,4.52901e-19,0,3.41247e+15,4.81111e+15,1.23614e+10,8.2236e+15,2.07448e+16,7.51281e+08
7.20421e+07,58071.2,1.72812e+06,2.64388e+29,9.97543e+24,1.43993e+14,40.7467,2.09492e+25,0.03468,2.98558e-07,4.13146e-23,0,8.63878e+14,1.37802e+15,2.24896e+09,2.2419e+15,1.13076e+15,1.9905e+08
8.79195e+07,15576.9,817702,3.04142e+29,9.9796e+24,1.80807e+14,222.577,1.29012e+22,0.03468,4.01457e-09,3.78067e-30,0,9.63802e+13,1.74903e+14,1.12738e+08,2.71283e+14,6.07436e+12,5.17356e+07
9.52811e+07,5149.92,469715,3.11853e+29,9.97961e+24,2.08137e+14,713.945,5.05176e+19,0.03468,1.44516e-10,2.02187e-35,0,1.52354e+13,3.32167e+13,1.22752e+07,4.8452e+13,8.49062e+10,1.21577e+07
1.01609e+08,1291.59,170954,3.13758e+29,9.97961e+24,2.28866e+14,9322.64,2.83463e+15,0.03468,6.35936e-13,9.32916e-45,0,1.51959e+12,3.03196e+12,215379,4.55155e+12,1.06564e+08,3.43326e+06
1.03789e+08,358.877,82495.9,3.1397e+29,9.97961e+24,2.53637e+14,48727.5,2.12029e+12,0.03468,9.58188e-15,1.30735e-51,0,1.79788e+11,4.06535e+11,11679.4,5.86323e+11,465486,0.158822
