X = 0.75
Y = 0.24999
Z = 1e-005
mu = 0.592593
Radius,Density,Temp,Mass,Lum,OptD,Pres
0,0,0,0,0,0,0
1e-010,2.52e+006,1.26e+007,1e-010,1e-010,1e-010,1.64328e+018
51372.9,2.52e+006,1.26e+007,2.39771e+021,1.10789e+020,6.07703e+009,1.64327e+018
111373,2.51998e+006,1.26e+007,1.56996e+022,7.25413e+020,1.1369e+010,1.64325e+018
171373,2.51995e+006,1.25999e+007,5.94381e+022,2.74632e+021,1.77193e+010,1.64322e+018
231373,2.5199e+006,1.25998e+007,1.48981e+023,6.88341e+021,2.40695e+010,1.64317e+018
291373,2.51985e+006,1.25997e+007,3.0074e+023,1.38947e+022,3.04196e+010,1.64311e+018
351373,2.51978e+006,1.25995e+007,5.31128e+023,2.45378e+022,3.67695e+010,1.64304e+018
411373,2.51969e+006,1.25993e+007,8.56552e+023,3.957e+022,4.31191e+010,1.64295e+018
471373,2.5196e+006,1.25991e+007,1.29342e+024,5.97479e+022,4.94686e+010,1.64285e+018
531373,2.51949e+006,1.25989e+007,1.85813e+024,8.58275e+022,5.58177e+010,1.64273e+018
591373,2.51936e+006,1.25986e+007,2.56707e+024,1.18564e+023,6.21665e+010,1.6426e+018
651373,2.51923e+006,1.25984e+007,3.43665e+024,1.58712e+023,6.8515e+010,1.64245e+018
711373,2.51908e+006,1.2598e+007,4.48325e+024,2.07025e+023,7.4863e+010,1.64229e+018
771373,2.51892e+006,1.25977e+007,5.72324e+024,2.64256e+023,8.12107e+010,1.64212e+018
831373,2.51874e+006,1.25973e+007,7.17301e+024,3.31155e+023,8.75578e+010,1.64193e+018
891373,2.51856e+006,1.25969e+007,8.84891e+024,4.08474e+023,9.39045e+010,1.64173e+018
951373,2.51835e+006,1.25965e+007,1.07673e+025,4.96961e+023,1.00251e+011,1.64151e+018
1.01137e+006,2.51814e+006,1.2596e+007,1.29445e+025,5.97363e+023,1.06596e+011,1.64128e+018
1.06137e+006,2.51795e+006,1.25955e+007,1.5397e+025,7.10427e+023,1.12941e+011,1.64104e+018
1.12137e+006,2.51771e+006,1.2595e+007,1.81409e+025,8.36897e+023,1.19285e+011,1.64078e+018
1.18137e+006,2.51746e+006,1.25945e+007,2.11927e+025,9.77516e+023,1.25629e+011,1.64051e+018
1.24137e+006,2.5172e+006,1.25939e+007,2.45686e+025,1.13303e+024,1.31972e+011,1.64022e+018
1.30137e+006,2.51692e+006,1.25933e+007,2.8285e+025,1.30416e+024,1.38314e+011,1.63992e+018
1.36137e+006,2.51663e+006,1.25927e+007,3.23581e+025,1.49167e+024,1.44655e+011,1.6396e+018
1.42137e+006,2.51633e+006,1.2592e+007,3.68043e+025,1.69627e+024,1.50996e+011,1.63927e+018
1.48137e+006,2.51601e+006,1.25913e+007,4.16397e+025,1.91871e+024,1.57335e+011,1.63893e+018
1.54137e+006,2.51568e+006,1.25906e+007,4.68806e+025,2.15972e+024,1.63674e+011,1.63857e+018
1.60137e+006,2.51534e+006,1.25899e+007,5.25433e+025,2.42002e+024,1.70012e+011,1.6382e+018
1.66137e+006,2.51499e+006,1.25891e+007,5.8644e+025,2.70034e+024,1.76349e+011,1.63782e+018
1.72137e+006,2.51462e+006,1.25883e+007,6.51988e+025,3.00141e+024,1.82684e+011,1.63742e+018
1.78137e+006,2.51424e+006,1.25875e+007,7.2224e+025,3.32394e+024,1.89019e+011,1.63701e+018
1.84137e+006,2.51384e+006,1.25866e+007,7.97358e+025,3.66865e+024,1.95353e+011,1.63658e+018
1.90137e+006,2.51343e+006,1.25857e+007,8.77503e+025,4.03627e+024,2.01685e+011,1.63614e+018
1.96137e+006,2.51301e+006,1.25848e+007,9.62836e+025,4.42749e+024,2.08017e+011,1.63568e+018
2.02137e+006,2.51258e+006,1.25839e+007,1.05352e+026,4.84304e+024,2.14347e+011,1.63521e+018
2.08137e+006,2.51213e+006,1.25829e+007,1.14971e+026,5.28362e+024,2.20676e+011,1.63473e+018
2.14137e+006,2.51168e+006,1.25819e+007,1.25158e+026,5.74993e+024,2.27003e+011,1.63423e+018
2.20137e+006,2.5112e+006,1.25809e+007,1.35928e+026,6.24268e+024,2.3333e+011,1.63372e+018
2.26137e+006,2.51072e+006,1.25799e+007,1.47296e+026,6.76255e+024,2.39655e+011,1.6332e+018
