X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
    Radius,    Density,       Temp,       Mass,        Lum,       OptD,        Kff,         KH,        Kes,         PP,        CNO,         3a,        Deg,        Gas,        Rad,    TotPres,       dLdr,     dPdT,      dTRad,     dTConv
         0,          0,          0,          0,          0,          0,       -nan,          0,    0.03468,          0,          0,          0,          0,          0,          0,          0,          0,          0,       -nan,       -nan
      0.01,      48004, 5.24807e+06,     201079,    4.22104,          0,   0.730668, 4.18474e+29,    0.03468, 2.0992e-05, 1.36056e-13, 6.63493e-67, 6.28996e+14, 3.45938e+15, 1.91289e+11, 4.08857e+15, 0.00126631, 5.90076e+08, 2.41221e-06, 2.93882e-06
   50003.6,      48004, 5.24807e+06, 2.51403e+19, 5.27744e+14,          0,   0.730668, 4.18474e+29,    0.03468, 2.0992e-05, 1.36056e-13, 6.63491e-67, 6.28996e+14, 3.45938e+15, 1.91289e+11, 4.08857e+15, 3.16624e+10, 5.90076e+08, 1.20619e-05, 1.46952e-05
    100008,      48004, 5.24807e+06, 2.01127e+20, 4.22205e+15,          0,   0.730669, 4.18473e+29,    0.03468, 2.0992e-05, 1.36055e-13, 6.63485e-67, 6.28995e+14, 3.45938e+15, 1.91289e+11, 4.08856e+15, 1.26651e+11, 5.90076e+08, 2.4124e-05, 2.93906e-05
    150021,      48004, 5.24807e+06, 6.78928e+20, 1.4252e+16,          0,   0.730669, 4.18472e+29,    0.03468, 2.09919e-05, 1.36054e-13, 6.63474e-67, 6.28995e+14, 3.45937e+15, 1.91289e+11, 4.08856e+15,   2.85e+11, 5.90075e+08, 3.61882e-05, 4.40885e-05
    200119,    48003.9, 5.24807e+06, 1.61151e+21, 3.38287e+16,          0,    0.73067, 4.1847e+29,    0.03468, 2.09919e-05, 1.36053e-13, 6.6346e-67, 6.28994e+14, 3.45937e+15, 1.91288e+11, 4.08855e+15, 5.07126e+11, 5.90075e+08, 4.82729e-05, 5.88115e-05
    250136,    48003.9, 5.24807e+06, 3.14698e+21, 6.60609e+16,          0,   0.730671, 4.18468e+29,    0.03468, 2.09918e-05, 1.36051e-13, 6.63442e-67, 6.28993e+14, 3.45936e+15, 1.91288e+11, 4.08855e+15, 7.92296e+11, 5.90074e+08, 6.03379e-05, 7.35104e-05
    300197,    48003.8, 5.24806e+06, 5.43984e+21, 1.14192e+17,          0,   0.730672, 4.18465e+29,    0.03468, 2.09917e-05, 1.36049e-13, 6.63419e-67, 6.28991e+14, 3.45936e+15, 1.91287e+11, 4.08854e+15, 1.14116e+12, 5.90073e+08, 7.24136e-05, 8.82225e-05
    350348,    48003.7, 5.24806e+06, 8.64696e+21, 1.81515e+17,          0,   0.730673, 4.18461e+29,    0.03468, 2.09916e-05, 1.36047e-13, 6.63392e-67, 6.28989e+14, 3.45935e+15, 1.91287e+11, 4.08853e+15, 1.55428e+12, 5.90072e+08, 8.45108e-05, 0.000102961
    400446,    48003.6, 5.24805e+06, 1.2912e+22, 2.71046e+17,          0,   0.730675, 4.18457e+29,    0.03468, 2.09915e-05, 1.36044e-13, 6.63362e-67, 6.28987e+14, 3.45934e+15, 1.91286e+11, 4.08852e+15, 2.03055e+12, 5.90071e+08, 9.65952e-05, 0.000117683
    450553,    48003.5, 5.24805e+06, 1.83908e+22, 3.86053e+17,          0,   0.730676, 4.18453e+29,    0.03468, 2.09913e-05, 1.36041e-13, 6.63327e-67, 6.28985e+14, 3.45933e+15, 1.91285e+11, 4.0885e+15, 2.57048e+12, 5.9007e+08, 0.000108682, 0.000132409
    500785,    48003.4, 5.24804e+06, 2.52533e+22, 5.30104e+17,          0,   0.730678, 4.18447e+29,    0.03468, 2.09912e-05, 1.36037e-13, 6.63288e-67, 6.28982e+14, 3.45931e+15, 1.91284e+11, 4.08849e+15, 3.17557e+12, 5.90068e+08, 0.000120799, 0.000147171
    550989,    48003.3, 5.24803e+06, 3.3635e+22, 7.06047e+17,          0,    0.73068, 4.18442e+29,    0.03468, 2.0991e-05, 1.36033e-13, 6.63244e-67, 6.2898e+14, 3.4593e+15, 1.91283e+11, 4.08847e+15, 3.84415e+12, 5.90067e+08, 0.000132908, 0.000161925
    601012,    48003.1, 5.24803e+06, 4.36526e+22, 9.16325e+17,          0,   0.730683, 4.18436e+29,    0.03468, 2.09908e-05, 1.36029e-13, 6.63197e-67, 6.28976e+14, 3.45928e+15, 1.91282e+11, 4.08845e+15, 4.57378e+12, 5.90065e+08, 0.000144974, 0.000176625
    651259,      48003, 5.24802e+06, 5.5542e+22, 1.16589e+18,          0,   0.730685, 4.18429e+29,    0.03468, 2.09906e-05, 1.36024e-13, 6.63146e-67, 6.28973e+14, 3.45927e+15, 1.91281e+11, 4.08843e+15, 5.37045e+12, 5.90063e+08, 0.000157094, 0.000191391
    701417,    48002.8, 5.24801e+06, 6.93886e+22, 1.45654e+18,          0,   0.730688, 4.18421e+29,    0.03468, 2.09904e-05, 1.36019e-13, 6.6309e-67, 6.28969e+14, 3.45925e+15, 1.91279e+11, 4.08841e+15, 6.22945e+12, 5.90061e+08, 0.000169193, 0.000206131
    751608,    48002.6,  5.248e+06, 8.53755e+22, 1.79211e+18,          0,    0.73069, 4.18414e+29,    0.03468, 2.09902e-05, 1.36013e-13, 6.63031e-67, 6.28965e+14, 3.45923e+15, 1.91278e+11, 4.08839e+15, 7.15276e+12, 5.90059e+08, 0.000181299, 0.000220881
    801716,    48002.4, 5.24799e+06, 1.03614e+23, 2.17494e+18,          0,   0.730694, 4.18405e+29,    0.03468, 2.09899e-05, 1.36007e-13, 6.62967e-67, 6.28961e+14, 3.45921e+15, 1.91276e+11, 4.08836e+15, 8.13814e+12, 5.90056e+08, 0.000193385, 0.000235606
    852128,    48002.2, 5.24798e+06, 1.24415e+23, 2.61153e+18,          0,   0.730697, 4.18396e+29,    0.03468, 2.09896e-05, 1.36001e-13, 6.62899e-67, 6.28957e+14, 3.45919e+15, 1.91275e+11, 4.08833e+15, 9.19361e+12, 5.90054e+08, 0.000205545, 0.00025042
    902494,      48002, 5.24796e+06, 1.47805e+23, 3.10248e+18,          0,     0.7307, 4.18387e+29,    0.03468, 2.09894e-05, 1.35994e-13, 6.62827e-67, 6.28952e+14, 3.45916e+15, 1.91273e+11, 4.08831e+15, 1.03123e+13, 5.90051e+08, 0.000217693, 0.000265221
    952927,    48001.8, 5.24795e+06, 1.73993e+23, 3.65216e+18,          0,   0.730704, 4.18377e+29,    0.03468, 2.0989e-05, 1.35987e-13, 6.6275e-67, 6.28947e+14, 3.45914e+15, 1.91271e+11, 4.08827e+15, 1.14968e+13, 5.90048e+08, 0.000229857, 0.000280041
1.00311e+06,    48001.5, 5.24794e+06, 2.02957e+23, 4.26008e+18,          0,   0.730708, 4.18366e+29,    0.03468, 2.09887e-05, 1.35979e-13, 6.6267e-67, 6.28941e+14, 3.45911e+15, 1.91269e+11, 4.08824e+15, 1.27395e+13, 5.90045e+08, 0.000241962, 0.000294789
1.05327e+06,    48001.3, 5.24793e+06, 2.34945e+23, 4.93145e+18,          0,   0.730712, 4.18355e+29,    0.03468, 2.09884e-05, 1.35971e-13, 6.62586e-67, 6.28936e+14, 3.45908e+15, 1.91267e+11, 4.08821e+15, 1.40449e+13, 5.90042e+08, 0.000254058, 0.000309526
1.10368e+06,      48001, 5.24791e+06, 2.7032e+23, 5.67392e+18,          0,   0.730716, 4.18343e+29,    0.03468, 2.0988e-05, 1.35963e-13, 6.62497e-67, 6.2893e+14, 3.45905e+15, 1.91265e+11, 4.08818e+15, 1.54212e+13, 5.90039e+08, 0.000266216, 0.00032434
1.15416e+06,    48000.7, 5.2479e+06, 3.09131e+23, 6.48848e+18,          0,   0.730721, 4.18331e+29,    0.03468, 2.09877e-05, 1.35954e-13, 6.62404e-67, 6.28924e+14, 3.45902e+15, 1.91263e+11, 4.08814e+15, 1.68637e+13, 5.90035e+08, 0.000278391, 0.000339173
1.20449e+06,    48000.4, 5.24788e+06, 3.51365e+23, 7.37487e+18,          0,   0.730725, 4.18318e+29,    0.03468, 2.09873e-05, 1.35945e-13, 6.62307e-67, 6.28917e+14, 3.45899e+15, 1.91261e+11, 4.0881e+15, 1.83662e+13, 5.90032e+08, 0.000290531, 0.000353964
1.25511e+06,    48000.1, 5.24786e+06, 3.97547e+23, 8.34409e+18,          0,    0.73073, 4.18305e+29,    0.03468, 2.09869e-05, 1.35936e-13, 6.62205e-67, 6.28911e+14, 3.45896e+15, 1.91258e+11, 4.08806e+15, 1.99417e+13, 5.90028e+08, 0.000302738, 0.000368837
1.3052e+06,    47999.8, 5.24785e+06, 4.47065e+23, 9.3833e+18,          0,   0.730735, 4.18291e+29,    0.03468, 2.09865e-05, 1.35926e-13,  6.621e-67, 6.28904e+14, 3.45892e+15, 1.91256e+11, 4.08802e+15, 2.15645e+13, 5.90024e+08, 0.000314817, 0.000383555
1.35521e+06,    47999.5, 5.24783e+06, 5.00456e+23, 1.05038e+19,          0,    0.73074, 4.18277e+29,    0.03468, 2.0986e-05, 1.35916e-13, 6.61992e-67, 6.28896e+14, 3.45889e+15, 1.91253e+11, 4.08798e+15, 2.32484e+13, 5.9002e+08, 0.00032688, 0.000398252
1.40572e+06,    47999.1, 5.24781e+06, 5.58517e+23, 1.17222e+19,          0,   0.730746, 4.18262e+29,    0.03468, 2.09856e-05, 1.35905e-13, 6.61878e-67, 6.28889e+14, 3.45885e+15, 1.9125e+11, 4.08793e+15, 2.50128e+13, 5.90016e+08, 0.00033906, 0.000413092
1.45589e+06,    47998.8, 5.24779e+06, 6.20471e+23, 1.30224e+19,          0,   0.730751, 4.18246e+29,    0.03468, 2.09851e-05, 1.35894e-13, 6.61761e-67, 6.28881e+14, 3.45881e+15, 1.91247e+11, 4.08788e+15, 2.68292e+13, 5.90012e+08, 0.000351158, 0.000427833
1.50631e+06,    47998.4, 5.24777e+06, 6.87198e+23, 1.44226e+19,          0,   0.730757, 4.1823e+29,    0.03468, 2.09846e-05, 1.35883e-13, 6.61639e-67, 6.28873e+14, 3.45877e+15, 1.91244e+11, 4.08784e+15, 2.8719e+13, 5.90007e+08, 0.000363319, 0.000442649
1.5569e+06,      47998, 5.24775e+06, 7.58784e+23, 1.59248e+19,          0,   0.730763, 4.18214e+29,    0.03468, 2.09841e-05, 1.35871e-13, 6.61512e-67, 6.28865e+14, 3.45873e+15, 1.91241e+11, 4.08779e+15, 3.06794e+13, 5.90002e+08, 0.000375518, 0.000457513
1.60756e+06,    47997.6, 5.24773e+06, 8.35276e+23, 1.75299e+19,          0,    0.73077, 4.18197e+29,    0.03468, 2.09836e-05, 1.35858e-13, 6.61381e-67, 6.28856e+14, 3.45869e+15, 1.91238e+11, 4.08774e+15, 3.27071e+13, 5.89997e+08, 0.000387733, 0.000472396
1.65817e+06,    47997.2, 5.2477e+06, 9.1668e+23, 1.9238e+19,          0,   0.730776, 4.18179e+29,    0.03468, 2.09831e-05, 1.35846e-13, 6.61247e-67, 6.28847e+14, 3.45864e+15, 1.91235e+11, 4.08768e+15, 3.4798e+13, 5.89992e+08, 0.000399938, 0.000487268
1.70864e+06,    47996.8, 5.24768e+06, 1.00296e+24, 2.10483e+19,          0,   0.730783, 4.18161e+29,    0.03468, 2.09825e-05, 1.35833e-13, 6.61108e-67, 6.28838e+14, 3.4586e+15, 1.91232e+11, 4.08763e+15, 3.69473e+13, 5.89987e+08, 0.000412108, 0.000502097
1.75886e+06,    47996.4, 5.24766e+06, 1.09401e+24, 2.29589e+19,          0,    0.73079, 4.18142e+29,    0.03468, 2.0982e-05, 1.3582e-13, 6.60966e-67, 6.28828e+14, 3.45855e+15, 1.91228e+11, 4.08757e+15, 3.91497e+13, 5.89982e+08, 0.000424218, 0.000516852
1.80964e+06,    47995.9, 5.24763e+06, 1.19151e+24, 2.50046e+19,          0,   0.730797, 4.18122e+29,    0.03468, 2.09814e-05, 1.35806e-13, 6.60818e-67, 6.28818e+14, 3.4585e+15, 1.91225e+11, 4.08751e+15, 4.14412e+13, 5.89976e+08, 0.000436461, 0.00053177
1.85999e+06,    47995.4, 5.24761e+06, 1.29375e+24, 2.71498e+19,          0,   0.730804, 4.18102e+29,    0.03468, 2.09808e-05, 1.35792e-13, 6.60668e-67, 6.28808e+14, 3.45845e+15, 1.91221e+11, 4.08745e+15, 4.37777e+13, 5.89971e+08, 0.000448601, 0.000546562
