X = 0.14999
Y = 0.85
Z = 1e-05
mu = 1.06668
    Radius,    Density,       Temp,       Mass,        Lum,       OptD,        Kff,         KH,        Kes,         PP,        CNO,         3a,        Deg,        Gas,        Rad,    TotPres,       dLdr,     dPdT,      dTRad,     dTConv
         0,          0,          0,          0,          0,          0,       -nan,          0,  0.0229998,          0,          0,          0,          0,          0,          0,          0,          0,          0,       -nan,       -nan
      0.01,     216456, 2.34423e+07,     906691,     201414,          0, 7.60593e-05, 3.93184e+32,  0.0229998, 0.00157354,   0.220569, 2.11086e-35, 7.7411e+15, 3.92674e+16, 7.61536e+13, 4.70847e+16,    60.4243, 2.61956e+09, 0.00020483, 2.60814e-05
   50003.6,     216456, 2.34423e+07, 1.13361e+20, 2.51822e+19,          0, 7.60593e-05, 3.93183e+32,  0.0229998, 0.00157354,   0.220568, 2.11084e-35, 7.7411e+15, 3.92674e+16, 7.61535e+13, 4.70847e+16, 1.51082e+15, 2.61956e+09, 0.00102422, 0.000130416
    100008,     216456, 2.34423e+07, 9.06908e+20, 2.01461e+20,          0, 7.60594e-05, 3.93181e+32,  0.0229998, 0.00157354,   0.220566, 2.1108e-35, 7.74109e+15, 3.92674e+16, 7.61534e+13, 4.70846e+16, 6.04332e+15, 2.61956e+09, 0.00204845, 0.000260835
    150021,     216456, 2.34423e+07, 3.06138e+21, 6.8005e+20,          0, 7.60595e-05, 3.93179e+32,  0.0229998, 0.00157353,   0.220563, 2.11073e-35, 7.74107e+15, 3.92673e+16, 7.61532e+13, 4.70845e+16, 1.35989e+16, 2.61955e+09, 0.00307283, 0.000391276
    200119,     216456, 2.34422e+07, 7.2665e+21, 1.61415e+21,          0, 7.60597e-05, 3.93175e+32,  0.0229998, 0.00157352,   0.220558, 2.11064e-35, 7.74106e+15, 3.92672e+16, 7.61529e+13, 4.70844e+16, 2.41973e+16, 2.61955e+09, 0.00409893, 0.000521938
    250136,     216455, 2.34422e+07, 1.41901e+22, 3.15208e+21,          0, 7.60599e-05, 3.9317e+32,  0.0229998, 0.00157351,   0.220552, 2.11051e-35, 7.74103e+15, 3.92671e+16, 7.61525e+13, 4.70843e+16, 3.78032e+16, 2.61954e+09, 0.00512331, 0.000652388
    300198,     216455, 2.34422e+07, 2.45289e+22, 5.44856e+21,          0, 7.60602e-05, 3.93164e+32,  0.0229998,  0.0015735,   0.220545, 2.11036e-35,  7.741e+15, 3.9267e+16, 7.6152e+13, 4.70841e+16, 5.44473e+16, 2.61953e+09, 0.00614857, 0.000782954
    350348,     216454, 2.34421e+07, 3.89903e+22, 8.66063e+21,          0, 7.60605e-05, 3.93157e+32,  0.0229998, 0.00157349,   0.220536, 2.11018e-35, 7.74097e+15, 3.92668e+16, 7.61515e+13, 4.70839e+16, 7.41556e+16, 2.61952e+09, 0.00717558, 0.000913752
    400446,     216454, 2.34421e+07, 5.82221e+22, 1.29321e+22,          0, 7.60609e-05, 3.93149e+32,  0.0229998, 0.00157347,   0.220526, 2.10997e-35, 7.74093e+15, 3.92666e+16, 7.61508e+13, 4.70836e+16, 9.68749e+16, 2.61951e+09, 0.00820144, 0.00104441
