X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
    Radius,    Density,       Temp,       Mass,        Lum,       OptD,        Kff,         KH,        Kes,         PP,        CNO,         3a,        Deg,        Gas,        Rad,    TotPres,       dLdr,     dPdT,      dTRad,     dTConv
         0,          0,          0,          0,          0,          0,       -nan,          0,    0.03468,          0,          0,          0,          0,          0,          0,          0,          0,          0,       -nan,       -nan
      0.01,    59085.4, 5.79429e+06,     247496,    9.50223,    35305.5,   0.597533, 1.1318e+30,    0.03468, 3.83934e-05, 1.20122e-12, 7.83866e-65, 8.89172e+14, 4.70112e+15, 2.84243e+11, 5.59057e+15, 0.00285067, 9.46352e+08, 1.09395e-05, 4.5345e-06
1.0033e+06,    59082.3, 5.79408e+06, 2.49944e+23, 9.59508e+18, 3.54223e+10,   0.597585, 1.13141e+30,    0.03468, 3.8386e-05, 1.20031e-12, 7.82572e-65, 8.89094e+14, 4.7007e+15, 2.84203e+11, 5.59008e+15, 2.86878e+13, 9.46289e+08, 0.00109755, 0.000454926
2.0083e+06,      59073, 5.79347e+06, 2.00446e+24, 7.69222e+19, 7.09071e+10,    0.59774, 1.13025e+30,    0.03468, 3.83637e-05, 1.1976e-12, 7.78695e-65, 8.88859e+14, 4.69946e+15, 2.84083e+11, 5.5886e+15, 1.14861e+14, 9.46099e+08, 0.00219688, 0.000910515
3.0083e+06,    59057.4, 5.79246e+06, 6.73608e+24, 2.58351e+20, 1.0622e+11,   0.597996, 1.12832e+30,    0.03468, 3.83267e-05, 1.19312e-12, 7.72312e-65, 8.8847e+14, 4.6974e+15, 2.83884e+11, 5.58616e+15, 2.57411e+14, 9.45781e+08, 0.00329607, 0.00136588
4.0133e+06,    59035.6, 5.79103e+06, 1.59902e+25, 6.12779e+20, 1.41717e+11,   0.598357, 1.12561e+30,    0.03468, 3.82748e-05, 1.18685e-12, 7.63421e-65, 8.87923e+14, 4.69451e+15, 2.83605e+11, 5.58272e+15, 4.5734e+14, 9.45337e+08, 0.00439505, 0.00182092
5.0183e+06,    59007.6, 5.7892e+06, 3.12532e+25, 1.19644e+21, 1.77223e+11,   0.598822, 1.12214e+30,    0.03468, 3.82082e-05, 1.17883e-12, 7.52135e-65, 8.8722e+14, 4.69079e+15, 2.83245e+11, 5.5783e+15, 7.13488e+14, 9.44766e+08, 0.00549373, 0.00227552
6.0233e+06,    58973.3, 5.78695e+06, 5.40227e+25, 2.06547e+21, 2.12741e+11,   0.599391, 1.11791e+30,    0.03468, 3.81268e-05, 1.16909e-12, 7.38564e-65, 8.86361e+14, 4.68625e+15, 2.82807e+11, 5.5729e+15, 1.0251e+15, 9.44045e+08, 0.00662652, 0.00274382
7.05741e+06,    58931.5, 5.78422e+06, 8.6861e+25, 3.31582e+21, 2.49303e+11,   0.600085, 1.11277e+30,    0.03468, 3.80279e-05, 1.15734e-12, 7.2235e-65, 8.85315e+14, 4.68072e+15, 2.82273e+11, 5.56632e+15, 1.40265e+15, 9.43133e+08, 0.00782816,    0.00324
8.15741e+06,    58879.9, 5.78084e+06, 1.34066e+26, 5.10797e+21, 2.88214e+11,   0.600944, 1.10645e+30,    0.03468, 3.79059e-05, 1.14295e-12, 7.0278e-65, 8.84023e+14, 4.67389e+15, 2.81614e+11, 5.5582e+15, 1.86633e+15, 9.4207e+08,  0.0090292, 0.00373525
9.25741e+06,    58820.8, 5.77698e+06, 1.95825e+26, 7.44462e+21, 3.27148e+11,    0.60193, 1.09926e+30,    0.03468, 3.77667e-05, 1.12671e-12, 6.81029e-65, 8.82545e+14, 4.66608e+15, 2.80862e+11, 5.54891e+15, 2.39237e+15, 9.40973e+08,  0.0101205, 0.00418455
1.03574e+07,    58754.4, 5.77262e+06, 2.74068e+26, 1.03934e+22, 3.66108e+11,   0.603042, 1.09121e+30,    0.03468, 3.76105e-05, 1.10869e-12, 6.57334e-65, 8.80885e+14, 4.6573e+15, 2.80016e+11, 5.53847e+15, 2.97894e+15, 9.39623e+08,  0.0113202, 0.00467761
1.14574e+07,    58680.6, 5.76779e+06, 3.70713e+26, 1.40197e+22, 4.05098e+11,   0.604282, 1.08233e+30,    0.03468, 3.74376e-05, 1.08898e-12, 6.31946e-65, 8.79041e+14, 4.64755e+15, 2.79079e+11, 5.52687e+15, 3.62397e+15, 9.38125e+08,  0.0125191, 0.00516933
1.25574e+07,    58599.4, 5.76247e+06, 4.87661e+26, 1.83867e+22, 4.4412e+11,   0.605649, 1.07264e+30,    0.03468, 3.72481e-05, 1.06769e-12, 6.05128e-65, 8.77016e+14, 4.63685e+15, 2.78051e+11, 5.51414e+15, 4.32521e+15, 9.36477e+08,  0.0137171, 0.00565956
1.36574e+07,      58511, 5.75667e+06, 6.26801e+26, 2.35549e+22, 4.83178e+11,   0.607146, 1.06216e+30,    0.03468, 3.70423e-05, 1.04492e-12, 5.77148e-65, 8.7481e+14, 4.62518e+15, 2.76933e+11, 5.50027e+15, 5.08021e+15, 9.34682e+08,  0.0149142, 0.00614816
1.47574e+07,    58415.2, 5.75039e+06, 7.90003e+26, 2.9582e+22, 5.22275e+11,   0.608772, 1.05091e+30,    0.03468, 3.68205e-05, 1.02079e-12, 5.48275e-65, 8.72426e+14, 4.61258e+15, 2.75726e+11, 5.48528e+15, 5.88635e+15, 9.3274e+08,  0.0161103, 0.00663499
