X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Kff,KH,Kes,PP,CNO,3a,Deg,Gas,Rad,TotPres, dLdr, dPdT
0,0,0,0,0,0,-nan,0,0.03468,0,0,0,0,0,0,0,0,0
100,500000,5.78096e+06,2.0944e+06,674.224,1.343e+06,2.68599,3.22489e+30,0.03468,0.000321918,9.70981e-12,5.07248e-63,3.12465e+16,3.96909e+16,2.81637e+11,7.09377e+16,2.02267e+07,6.86586e+09
1.02523e+06,499804,5.77976e+06,2.25641e+24,7.2585e+20,1.37677e+12,2.6872,3.21825e+30,0.03468,0.000321526,9.66608e-12,5.02253e-63,3.12261e+16,3.96671e+16,2.81404e+11,7.08934e+16,2.12259e+15,6.86203e+09
2.15393e+06,499133,5.77568e+06,2.09076e+25,6.70885e+21,2.89284e+12,2.69133,3.1957e+30,0.03468,0.000320187,9.51825e-12,4.85564e-63,3.11562e+16,3.95858e+16,2.80609e+11,7.07423e+16,9.3174e+15,6.84812e+09
3.20492e+06,498081,5.76927e+06,6.87877e+25,2.19863e+22,4.30488e+12,2.69781,3.16061e+30,0.03468,0.000318098,9.29076e-12,4.60481e-63,3.10469e+16,3.94586e+16,2.79367e+11,7.05058e+16,2.04505e+16,6.82637e+09
4.79588e+06,495711,5.75482e+06,2.29841e+26,7.28169e+22,6.44345e+12,2.71253,3.08271e+30,0.03468,0.000313425,8.79647e-12,4.08461e-63,3.08011e+16,3.91725e+16,2.76579e+11,6.99739e+16,4.49064e+16,6.77744e+09
5.87324e+06,493581,5.74181e+06,4.21056e+26,1.32339e+23,7.89263e+12,2.72588,3.01403e+30,0.03468,0.000309264,8.37275e-12,3.66556e-63,3.05809e+16,3.8916e+16,2.74085e+11,6.94971e+16,6.61689e+16,6.73353e+09
7.19617e+06,490395,5.72229e+06,7.71494e+26,2.39606e+23,9.67352e+12,2.74609,2.91359e+30,0.03468,0.00030311,7.77356e-12,3.11481e-63,3.02525e+16,3.85333e+16,2.70376e+11,6.8786e+16,9.67294e+16,6.66797e+09
8.82082e+06,485637,5.69303e+06,1.41264e+27,4.30956e+23,1.18632e+13,2.77678,2.76871e+30,0.03468,0.000294077,6.95166e-12,2.43792e-63,2.97649e+16,3.79643e+16,2.64889e+11,6.77294e+16,1.39637e+17,6.57039e+09
1.08169e+07,478556,5.64925e+06,2.58234e+27,7.67025e+23,1.45582e+13,2.82365,2.56397e+30,0.03468,0.000280978,5.87476e-12,1.68555e-63,2.90451e+16,3.71231e+16,2.56834e+11,6.61684e+16,1.97706e+17,6.42583e+09
1.32714e+07,468069,5.58386e+06,4.70696e+27,1.34346e+24,1.7881e+13,2.89583,2.28346e+30,0.03468,0.000262315,4.55768e-12,9.66075e-64,2.79921e+16,3.58893e+16,2.45148e+11,6.38816e+16,2.71755e+17,6.21319e+09
1.6294e+07,452650,5.48647e+06,8.54003e+27,2.29736e+24,2.19893e+13,3.00838,1.91668e+30,0.03468,0.000236434,3.10554e-12,4.16586e-64,2.64721e+16,3.41017e+16,2.28488e+11,6.0574e+16,3.57057e+17,5.90376e+09
2.00245e+07,430224,5.34208e+06,1.5384e+28,3.79222e+24,2.70906e+13,3.18733,1.46983e+30,0.03468,0.000201981,1.73607e-12,1.1639e-64,2.43226e+16,3.15592e+16,2.05367e+11,5.5882e+16,4.37866e+17,5.46083e+09
2.46452e+07,398149,5.12938e+06,2.74106e+28,5.94798e+24,3.3467e+13,3.4804,9.80936e+29,0.03468,0.000158885,7.1579e-13,1.66819e-65,2.13761e+16,2.80435e+16,1.74563e+11,4.94198e+16,4.82841e+17,4.84251e+09
3.04002e+07,353428,4.81917e+06,4.80286e+28,8.68386e+24,4.15188e+13,3.98321,5.27146e+29,0.03468,0.000109892,1.83607e-13,8.44621e-67,1.75261e+16,2.3388e+16,1.36013e+11,4.09143e+16,4.51053e+17,4.01241e+09
3.76314e+07,293486,4.37334e+06,8.20222e+28,1.15289e+25,5.18496e+13,4.91234,2.00515e+29,0.03468,6.18896e-05,2.20912e-14,8.13311e-69,1.28577e+16,1.76247e+16,9.22454e+10,3.04825e+16,3.23232e+17,2.96489e+09
4.68507e+07,217999,3.7465e+06,1.34611e+29,1.36828e+25,6.54473e+13,6.85575,4.29422e+28,0.03468,2.47589e-05,7.55157e-16,0,7.83324e+15,1.1215e+16,4.96811e+10,1.90483e+16,1.48877e+17,1.77162e+09
5.89087e+07,132171,2.89263e+06,2.07456e+29,1.46462e+25,8.41299e+13,11.9425,3.26017e+27,0.03468,5.33442e-06,2.66268e-18,0,3.4021e+15,5.24991e+15,1.76549e+10,8.65203e+15,3.07464e+16,7.51281e+08
7.35415e+07,58206.9,1.90189e+06,2.80772e+29,1.48112e+25,1.08491e+14,29.1851,4.96799e+25,0.03468,4.39026e-07,2.78736e-22,0,8.67247e+14,1.52013e+15,3.29936e+09,2.38738e+15,1.73676e+15,1.9905e+08
8.98212e+07,15940.9,918734,3.23598e+29,1.48178e+25,1.35341e+14,150.46,3.72387e+22,0.03468,6.54707e-09,3.93034e-29,0,1.00162e+14,2.01105e+14,1.79659e+08,3.01267e+14,1.0581e+13,5.17356e+07
1.01351e+08,4099.79,314100,3.33373e+29,1.48179e+25,1.61275e+14,2488.98,1.20509e+18,0.03468,2.30042e-11,5.35608e-39,0,1.04181e+13,1.76827e+13,2.45449e+06,2.81008e+13,1.21739e+10,1.21577e+07
1.06102e+08,1009.35,116094,3.34701e+29,1.48179e+25,2.06887e+14,30396.6,7.69714e+13,0.03468,1.05695e-13,3.29743e-48,0,1.00753e+12,1.60906e+12,45806.3,2.61659e+12,1.50922e+07,3.43326e+06
1.07689e+08,259.19,58868.6,3.34841e+29,1.48179e+25,2.60541e+14,126406,8.64551e+10,0.03468,1.79444e-15,1.14483e-54,0,1.04524e+11,2.09519e+11,3028.48,3.14043e+11,67779.9,0.158822
