X = 0.734
Y = 0.25
Z = 0.016
mu = 0.601142
Radius,Density,Temp,Mass,Lum,OptD,Pres
0,0,0,0,0,0,0
1e-10,150000,100000,0,0,2.54789e+11,4.59511e+15
13405.1,150000,100000,1.51353e+18,1.30876e+07,3.41573e+15,4.59511e+15
33405.1,150000,100000,2.34217e+19,2.02528e+08,8.51152e+15,4.59511e+15
53405.1,150000,100000,9.57036e+19,8.27551e+08,1.36073e+16,4.59511e+15
73405.1,150000,100000,2.48518e+20,2.14894e+09,1.87031e+16,4.5951e+15
93405.1,149999,100000,5.12025e+20,4.42748e+09,2.37988e+16,4.59509e+15
113405,149999,100000,9.16382e+20,7.92396e+09,2.88946e+16,4.59507e+15
133405,149999,100000,1.49175e+21,1.28991e+10,3.39903e+16,4.59506e+15
153405,149998,100000,2.26828e+21,1.96138e+10,3.9086e+16,4.59504e+15
173405,149998,100000,3.27614e+21,2.83287e+10,4.41817e+16,4.59502e+15
193405,149998,100000,4.54548e+21,3.93045e+10,4.92773e+16,4.59499e+15
213405,149997,100000,6.10646e+21,5.28021e+10,5.4373e+16,4.59497e+15
233405,149996,100000,7.98923e+21,6.90821e+10,5.94686e+16,4.59494e+15
253405,149996,100000,1.02239e+22,8.84054e+10,6.45641e+16,4.59491e+15
273405,149995,100000,1.28408e+22,1.11032e+11,6.96596e+16,4.59487e+15
293405,149994,100000,1.58699e+22,1.37224e+11,7.47551e+16,4.59484e+15
313405,149994,100000,1.93414e+22,1.67241e+11,7.98506e+16,4.5948e+15
333405,149993,100000,2.32854e+22,2.01344e+11,8.49459e+16,4.59476e+15
353405,149992,100000,2.77322e+22,2.39793e+11,9.00413e+16,4.59471e+15
373405,149991,100000,3.27118e+22,2.8285e+11,9.51366e+16,4.59466e+15
393405,149990,100000,3.82545e+22,3.30774e+11,1.00232e+17,4.59462e+15
413405,149989,100000,4.43903e+22,3.83827e+11,1.05327e+17,4.59456e+15
433405,149988,100000,5.11494e+22,4.42269e+11,1.10422e+17,4.59451e+15
453405,149987,100000,5.8562e+22,5.0636e+11,1.15517e+17,4.59445e+15
473405,149985,100000,6.66581e+22,5.76361e+11,1.20612e+17,4.59439e+15
493405,149984,100000,7.54681e+22,6.52533e+11,1.25707e+17,4.59433e+15
513405,149983,100000,8.50218e+22,7.35136e+11,1.30802e+17,4.59426e+15
533405,149981,100000,9.53496e+22,8.2443e+11,1.35897e+17,4.5942e+15
553405,149980,100000,1.06482e+23,9.20676e+11,1.40991e+17,4.59413e+15
573405,149978,100000,1.18448e+23,1.02413e+12,1.46086e+17,4.59405e+15
593405,149977,100000,1.31279e+23,1.13507e+12,1.5118e+17,4.59398e+15
613405,149975,100000,1.45004e+23,1.25373e+12,1.56275e+17,4.5939e+15
633405,149974,100000,1.59654e+23,1.38039e+12,1.61369e+17,4.59382e+15
653405,149972,100000,1.75258e+23,1.5153e+12,1.66463e+17,4.59374e+15
673405,149970,100000,1.91848e+23,1.65872e+12,1.71557e+17,4.59365e+15
693405,149969,100000,2.09453e+23,1.81092e+12,1.76651e+17,4.59356e+15
713405,149967,100000,2.28103e+23,1.97215e+12,1.81745e+17,4.59347e+15
733405,149965,100000,2.47828e+23,2.14268e+12,1.86839e+17,4.59338e+15
753405,149963,100000,2.68659e+23,2.32276e+12,1.91933e+17,4.59328e+15
773405,149961,100000,2.90625e+23,2.51265e+12,1.97026e+17,4.59319e+15
